ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C23-110a      2354.63    2354.88    2354.76     273.84     -59.75    -462.33      15.67
C23-112a      2355.65    2355.90    2355.78     274.46     -59.83    -464.18      14.46
C23-114a      2356.68    2356.95    2356.81     275.06     -59.48    -460.45      15.39
C23-115a      2357.19    2357.44    2357.32     275.37     -59.74    -462.82      15.10
C23-116a      2357.71    2357.96    2357.84     275.69     -59.31    -461.15      13.33
C23-117a      2358.23    2358.48    2358.35     276.03     -59.67    -462.45      14.91
C23-118a      2358.72    2358.96    2358.84     276.34     -59.54    -460.19      16.13
C23-120a      2359.72    2359.97    2359.85     276.97     -59.16    -459.25      14.03
C23-122a      2360.68    2360.93    2360.81     277.56     -59.63    -461.30      15.74
C23-123a      2361.16    2361.45    2361.30     277.86     -59.56    -461.55      14.93
C23-124a      2361.65    2361.90    2361.78     278.18     -59.83    -464.10      14.54
C23-127       2363.15    2363.48    2363.32     279.14     -59.57    -461.34      15.22
C23-135       2367.28    2367.60    2367.44     281.68     -59.55    -459.55      16.85
C23-136a      2367.60    2367.85    2367.73     281.84     -59.42    -460.45      14.91
C23-137A      2368.08    2368.37    2368.23     282.09     -58.82    -454.29      16.27
BC23-138a     2368.60    2368.85    2368.73     282.34     -59.02    -457.01      15.15
C23-140a      2369.59    2369.85    2369.72     282.81     -58.65    -453.67      15.53
C23-142a      2370.60    2370.85    2370.73     283.28     -57.99    -450.47      13.45
C23-143a      2371.10    2371.34    2371.22     283.51     -57.83    -446.74      15.91
C23-144a      2371.54    2371.79    2371.66     283.70     -58.41    -451.52      15.76
C23-145A      2372.05    2372.30    2372.18     283.93     -57.91    -448.55      14.73
BC23-146a     2372.55    2372.80    2372.68     284.14     -58.40    -452.34      14.88
C23-148a      2373.55    2373.80    2373.68     284.58     -58.37    -451.39      15.57
C23-149a      2374.05    2374.30    2374.18     284.80     -57.98    -448.95      14.89
C23-150a      2374.55    2374.80    2374.68     285.02     -57.96    -447.66      16.02
C23-152a      2375.55    2375.80    2375.68     285.47     -56.97    -442.26      13.50
C23-154a      2376.53    2376.78    2376.65     285.89     -57.38    -444.22      14.82
C23-155a      2377.03    2377.27    2377.15     286.11     -57.65    -445.76      15.44
C23-156a      2377.52    2377.77    2377.65     286.31     -57.30    -443.37      15.03
C23-158a      2378.47    2378.72    2378.60     286.70     -56.95    -440.89      14.71
C23-159a      2378.97    2379.23    2379.10     286.90     -56.56    -439.25      13.23
C23-160a      2379.47    2379.72    2379.60     287.10     -56.67    -440.05      13.31
C23-161A      2379.97    2380.22    2380.10     287.30     -56.77    -440.69      13.47
C23-162a      2380.47    2380.72    2380.60     287.49     -56.90    -439.66      15.54
C23-164a      2381.47    2381.72    2381.60     287.87     -56.65    -440.10      13.10
C23-166a      2382.47    2382.68    2382.57     288.27     -56.43    -437.09      14.35
C23-167a      2382.97    2383.22    2383.10     288.46     -56.69    -438.82      14.70
C23-168a      2383.47    2383.72    2383.60     288.66     -56.32    -437.04      13.52
C23-170a      2384.47    2384.72    2384.60     289.05     -56.16    -434.55      14.73
C23-171a      2384.97    2385.22    2385.10     289.24     -56.27    -436.93      13.23
C23-172a      2385.47    2385.72    2385.60     289.43     -57.08    -442.20      14.44
C23-173a      2385.97    2386.22    2386.09     289.62     -56.57    -438.78      13.78
C23-174a      2386.49    2386.75    2386.62     289.82     -55.99    -431.80      16.12
C23-176a      2387.50    2387.75    2387.63     290.21     -55.90    -433.61      13.59
C23-177a      2388.00    2388.22    2388.11     290.39     -56.18    -436.33      13.12
C23-178a      2388.50    2388.75    2388.63     290.59     -56.55    -439.08      13.32
C23-180a      2389.41    2389.66    2389.54     290.95     -57.01    -443.13      12.95
C23-182a      2390.39    2390.64    2390.52     291.36     -56.77    -441.69      12.48
C23-183A      2390.88    2391.13    2391.01     291.56     -56.83    -441.29      13.35
C23-184a      2391.36    2391.61    2391.49     291.76     -57.03    -442.02      14.22
C23-185a      2391.87    2392.15    2392.01     291.97     -56.56    -438.96      13.52
C23-186a      2392.38    2392.64    2392.51     292.18     -57.40    -442.96      16.24
C23-188a      2393.39    2393.64    2393.52     292.61     -57.66    -447.72      13.56
C23-189a      2393.89    2394.10    2394.00     292.82     -57.33    -445.30      13.34
C23-190a      2394.39    2394.64    2394.52     293.04     -57.60    -446.26      14.54
C23-192a      2395.41    2395.66    2395.54     293.51     -57.93    -449.97      13.47
C23-194a      2396.41    2396.66    2396.54     293.99     -58.15    -450.64      14.56
C23-195a      2396.91    2397.16    2397.04     294.21     -56.88    -442.23      12.81
C23-196a      2397.41    2397.66    2397.54     294.44     -57.84    -449.85      12.87
C23-197a      2397.91    2398.16    2398.04     294.67     -57.95    -449.72      13.88
C23-198a      2398.41    2398.66    2398.54     294.91     -58.50    -453.86      14.14
C23-200a      2399.41    2399.68    2399.55     295.37     -57.94    -449.79      13.73
C23-201a      2399.91    2400.16    2400.04     295.60     -57.40    -445.33      13.87
C24-002A      2400.91    2401.16    2401.04     296.05     -57.85    -447.18      15.62
C24-004a      2401.91    2402.16    2402.04     296.52     -57.92    -449.16      14.20
C24-006a      2402.91    2403.16    2403.04     297.00     -58.51    -452.53      15.56
C24-007a      2403.41    2403.66    2403.54     297.25     -58.08    -451.78      12.86
C24-008a      2403.91    2404.16    2404.04     297.51     -58.38    -454.38      12.66
C24-009a      2404.41    2404.67    2404.54     297.77     -58.28    -453.31      12.93
C24-010A      2404.91    2405.16    2405.04     298.03     -59.09    -455.05      17.67
C24-012a      2405.91    2406.16    2406.04     298.57     -58.91    -456.94      14.34
C24-014a      2406.91    2407.16    2407.04     299.07     -57.84    -448.82      13.90
C24-015a      2407.41    2407.66    2407.54     299.32     -58.70    -455.58      14.02
C24-016a      2407.91    2408.16    2408.04     299.56     -58.05    -449.59      14.81
C24-017a      2408.41    2408.66    2408.54     299.80     -58.34    -451.66      15.06
C24-018A      2408.91    2409.16    2409.04     300.04     -58.42    -451.00      16.36
C24-020a      2409.91    2410.16    2410.04     300.51     -57.90    -448.71      14.49
C24-022a      2410.91    2411.16    2411.04     300.98     -57.56    -444.37      16.11
C24-023A      2411.40    2411.66    2411.53     301.21     -57.88    -448.53      14.51
C24-024a      2411.91    2412.16    2412.04     301.46     -58.27    -451.66      14.50
C24-025A      2412.41    2412.66    2412.54     301.70     -58.29    -451.44      14.88
C24-026a      2412.91    2413.16    2413.04     301.93     -58.79    -453.62      16.70
C24-028a      2413.91    2414.16    2414.04     302.40     -58.28    -451.82      14.42
C24-030a      2414.91    2415.16    2415.04     302.86     -58.11    -449.76      15.13
C24-031a      2415.41    2415.66    2415.54     303.09     -58.17    -450.82      14.54
C24-033A      2416.41    2416.66    2416.54     303.54     -58.05    -450.11      14.29
C24-034a      2416.91    2417.16    2417.04     303.77     -57.70    -445.91      15.69
C24-036a      2417.92    2418.17    2418.05     304.23     -58.15    -449.42      15.78
C24-037a      2418.41    2418.70    2418.55     304.45     -57.52    -445.45      14.72
C24-038a      2418.91    2419.16    2419.04     304.67     -58.03    -449.02      15.22
C24-040a      2419.92    2420.16    2420.04     305.10     -57.45    -444.01      15.59
C24-042a      2420.94    2421.19    2421.07     305.54     -57.21    -444.07      13.61
C24-043a      2421.44    2421.69    2421.57     305.75     -56.88    -439.93      15.11
C24-044a      2421.94    2422.19    2422.07     305.97     -57.93    -448.53      14.91
C24-046a      2422.94    2423.19    2423.07     306.43     -58.09    -450.85      13.87
C24-047A      2423.44    2423.69    2423.57     306.66     -58.19    -448.07      17.45
C24-048a      2423.94    2424.19    2424.07     306.89     -58.36    -451.02      15.86
C24-049a      2424.44    2424.69    2424.57     307.12     -57.95    -449.08      14.52
C24-050a      2424.94    2425.19    2425.07     307.34     -58.56    -452.09      16.39
C24-052a      2425.92    2426.17    2426.05     307.78     -58.44    -451.91      15.61
C24-053a      2426.42    2426.67    2426.55     308.01     -58.10    -449.43      15.37
C24-054A      2426.92    2427.17    2427.05     308.24     -58.03    -448.00      16.24
C24-056a      2427.92    2428.13    2428.02     308.70     -58.23    -449.80      16.04
C24-058a      2428.92    2429.22    2429.07     309.16     -57.43    -444.14      15.30
C24-059A      2429.43    2429.68    2429.56     309.38     -57.43    -445.05      14.40
C24-060a      2429.93    2430.18    2430.06     309.59     -57.87    -448.64      14.32
C24-062a      2430.93    2431.18    2431.06     310.01     -57.94    -446.65      16.87
C24-063a      2431.43    2431.68    2431.56     310.23     -57.51    -446.63      13.45
C24-064a      2431.93    2432.18    2432.06     310.44     -57.60    -446.04      14.76
C24-065A      2432.43    2432.68    2432.56     310.67     -57.19    -442.08      15.44
C24-066a      2432.93    2433.18    2433.06     310.89     -57.41    -443.70      15.59
C24-068a      2433.93    2434.18    2434.06     311.32     -57.45    -445.15      14.45
C24-069a      2434.43    2434.68    2434.56     311.53     -57.06    -441.72      14.76
C24-071a      2435.43    2435.68    2435.56     311.93     -56.98    -440.83      15.01
C24-072a      2435.93    2436.18    2436.06     312.14     -57.32    -443.97      14.59
C24-073a      2436.39    2436.65    2436.52     312.35     -57.17    -441.53      15.83
C24-074A      2436.89    2437.14    2437.02     312.57     -57.36    -443.32      15.56
C24-075a      2437.38    2437.63    2437.51     312.78     -56.61    -439.43      13.45
C24-076a      2437.89    2438.11    2438.00     313.00     -56.77    -439.75      14.41
C24-077A      2438.39    2438.65    2438.52     313.22     -56.48    -437.30      14.54
C24-078A      2438.89    2439.14    2439.02     313.45     -57.05    -439.76      16.64
C24-079a      2439.39    2439.64    2439.52     313.67     -55.94    -433.68      13.84
C24-080a      2439.89    2440.14    2440.02     313.90     -56.78    -439.40      14.84
C24-081a      2440.39    2440.64    2440.52     314.12     -55.96    -432.96      14.72
C24-082A      2440.89    2441.10    2441.00     314.34     -57.16    -442.13      15.15
C24-083a      2441.39    2441.54    2441.47     314.56     -56.27    -434.96      15.20
C24-084a      2441.89    2442.09    2441.99     314.79     -56.90    -439.62      15.58
BC24-085A     2442.39    2442.64    2442.52     315.01     -57.13    -441.07      15.96
C24-086a      2442.89    2443.14    2443.02     315.22     -55.94    -432.26      15.26
C24-087A      2443.39    2443.63    2443.51     315.43     -55.80    -432.54      13.86
C24-088a      2443.90    2444.14    2444.02     315.64     -57.00    -440.50      15.50
C24-089a      2444.39    2444.64    2444.52     315.85     -56.89    -439.08      16.04
C24-091a      2445.39    2445.64    2445.52     316.27     -55.80    -430.79      15.62
C24-092a      2445.91    2446.16    2446.04     316.48     -55.68    -430.10      15.34
C24-093a      2446.42    2446.68    2446.55     316.69     -56.16    -432.63      16.65
C24-094A      2446.92    2447.17    2447.05     316.89     -55.79    -431.37      14.95
C24-095a      2447.42    2447.67    2447.55     317.10     -56.30    -433.79      16.62
C24-096a      2447.92    2448.21    2448.07     317.32     -57.22    -441.99      15.77
C24-097a      2448.42    2448.67    2448.55     317.54     -56.76    -438.47      15.61
C24-098A      2448.92    2449.18    2449.05     317.78     -57.39    -443.61      15.52
C24-099A      2449.42    2449.67    2449.55     318.03     -56.87    -439.82      15.14
C24-100a      2449.92    2450.17    2450.05     318.28     -57.88    -446.49      16.55
C24-101a      2450.42    2450.67    2450.55     318.53     -57.03    -441.79      14.45
C24-102A      2450.92    2451.17    2451.05     318.78     -58.11    -447.40      17.48
C24-103a      2451.42    2451.67    2451.55     319.04     -57.75    -447.15      14.85
C24-104a      2451.92    2452.17    2452.05     319.32     -58.38    -452.04      15.00
C24-105a      2452.42    2452.70    2452.56     319.59     -58.29    -450.32      16.00
C24-106A      2452.92    2453.14    2453.03     319.88     -58.27    -450.53      15.63
C24-107A      2453.42    2453.67    2453.55     320.16     -57.98    -447.97      15.88
C24-108a      2453.92    2454.17    2454.05     320.45     -58.66    -453.21      16.07
C24-109a      2454.42    2454.67    2454.55     320.73     -58.38    -450.54      16.50
C24-110A      2454.92    2455.17    2455.05     321.01     -58.00    -447.70      16.30
C24-111a      2455.42    2455.67    2455.55     321.28     -58.19    -449.18      16.34
C24-112a      2455.92    2456.17    2456.05     321.55     -57.90    -447.44      15.76
C24-113a      2456.42    2456.64    2456.53     321.80     -58.04    -447.81      16.55
C24-114A      2456.92    2457.17    2457.05     322.05     -57.57    -442.31      18.25
C24-115a      2457.42    2457.67    2457.55     322.31     -57.05    -440.71      15.69
C24-116a      2457.92    2458.17    2458.05     322.56     -57.68    -446.79      14.65
C24-117A      2458.42    2458.67    2458.55     322.83     -57.79    -446.61      15.71
C24-118a      2458.92    2459.17    2459.05     323.09     -57.80    -445.24      17.17
C24-119A      2459.42    2459.67    2459.55     323.34     -57.46    -443.20      16.48
C24-120a      2459.92    2460.17    2460.05     323.59     -57.02    -441.71      14.45
C24-121a      2460.42    2460.67    2460.55     323.84     -56.80    -439.66      14.75
C24-122A      2460.92    2461.17    2461.05     324.09     -57.08    -441.13      15.52
C24-123a      2461.41    2461.66    2461.54     324.32     -56.86    -440.99      13.89
C24-124a      2461.92    2462.17    2462.05     324.57     -56.99    -439.79      16.13
C24-125a      2462.42    2462.67    2462.55     324.80     -56.80    -439.84      14.56
C24-126a      2462.92    2463.17    2463.05     325.04     -56.96    -439.36      16.32
C24-127A      2463.42    2463.67    2463.55     325.28     -56.03    -432.76      15.49
C24-128a      2463.92    2464.17    2464.05     325.53     -56.29    -436.40      13.92
C24-129A      2464.42    2464.67    2464.55     325.77     -56.44    -435.59      15.93
C24-130a      2464.92    2465.17    2465.05     326.01     -56.26    -434.66      15.43
C24-131A      2465.42    2465.67    2465.55     326.24     -56.17    -433.52      15.84
C24-132a      2465.92    2466.17    2466.05     326.47     -56.31    -435.75      14.73
C24-133a      2466.43    2466.67    2466.55     326.70     -55.84    -431.08      15.64
C24-134A      2466.94    2467.20    2467.07     326.93     -55.75    -429.70      16.30
C24-135a      2467.44    2467.69    2467.57     327.16     -56.07    -433.39      15.17
C24-136a      2467.94    2468.19    2468.07     327.38     -55.88    -432.88      14.16
C24-137A      2468.44    2468.69    2468.57     327.60     -55.28    -428.09      14.15
C24-138a      2468.94    2469.19    2469.07     327.82     -55.97    -431.68      16.08
C24-139A      2469.44    2469.69    2469.57     328.04     -55.13    -427.13      13.91
C24-140a      2469.94    2470.19    2470.07     328.26     -55.66    -430.65      14.63
C24-141a      2470.44    2470.69    2470.57     328.48     -55.30    -428.70      13.72
C24-143A      2471.44    2471.69    2471.57     328.92     -54.63    -422.59      14.45
C24-144a      2471.94    2472.17    2472.05     329.13     -55.35    -429.79      13.01
C24-145A      2472.44    2472.69    2472.57     329.35     -55.13    -426.85      14.15
C24-147a      2473.44    2473.69    2473.57     329.76     -54.83    -424.23      14.41
C24-148a      2473.92    2474.16    2474.04     329.96     -54.53    -420.98      15.26
C24-149A      2474.42    2474.67    2474.55     330.16     -54.07    -417.52      15.04
C24-150A      2474.92    2475.17    2475.05     330.36     -54.29    -421.12      13.21
C24-151a      2475.42    2475.68    2475.55     330.56     -54.30    -419.77      14.63
C24-152a      2475.90    2476.16    2476.03     330.74     -54.64    -422.93      14.19
C24-153a      2476.41    2476.66    2476.54     330.94     -53.88    -417.98      13.06
C24-154A      2476.91    2477.16    2477.04     331.13     -54.13    -418.91      14.13
C24-155a      2477.41    2477.66    2477.54     331.33     -54.09    -418.44      14.28
C24-156a      2477.91    2478.21    2478.06     331.52     -54.58    -422.60      14.04
C24-157A      2478.41    2478.66    2478.54     331.72     -53.61    -416.04      12.84
C24-158a      2478.91    2479.16    2479.04     331.91     -53.99    -417.36      14.56
C24-159A      2479.41    2479.66    2479.54     332.10     -54.33    -421.94      12.70
C24-160a      2479.91    2480.16    2480.04     332.29     -54.49    -421.51      14.41
C24-161a      2480.41    2480.66    2480.54     332.48     -53.77    -418.11      12.05
C24-162a      2480.91    2481.21    2481.06     332.68     -54.27    -419.92      14.24
C24-163A      2481.41    2481.66    2481.54     332.87     -53.84    -417.61      13.11
C24-164a      2481.91    2482.16    2482.04     333.07     -54.17    -419.43      13.93
C24-165a      2482.41    2482.66    2482.54     333.26     -53.57    -415.06      13.50
C24-167A      2483.41    2483.66    2483.54     333.64     -53.46    -413.91      13.77
C24-168a      2483.91    2484.16    2484.04     333.84     -54.30    -421.73      12.67
C24-169a      2484.41    2484.66    2484.54     334.03     -53.66    -416.47      12.81
C24-170A      2484.91    2485.16    2485.04     334.21     -53.35    -412.83      13.97
C24-171a      2485.41    2485.66    2485.54     334.40     -52.56    -407.32      13.16
C24-172a      2485.91    2486.16    2486.04     334.58     -53.35    -414.14      12.66
C24-173a      2486.41    2486.66    2486.54     334.76     -52.20    -406.63      10.97
C24-174A      2486.92    2487.17    2487.05     334.94     -52.81    -410.61      11.87
C24-175a      2487.41    2487.66    2487.54     335.11     -51.76    -402.43      11.65
C24-176a      2487.91    2488.16    2488.04     335.27     -51.79    -401.83      12.49
C24-177a      2488.41    2488.66    2488.54     335.44     -51.64    -401.13      11.99
C24-178A      2488.91    2489.16    2489.04     335.60     -51.51    -399.59      12.49
C24-179a      2489.41    2489.66    2489.54     335.75     -51.26    -398.48      11.60
C24-180a      2489.91    2490.16    2490.04     335.91     -51.27    -398.45      11.71
C24-181A      2490.41    2490.62    2490.52     336.06     -50.88    -395.58      11.46
C24-182a      2490.91    2491.16    2491.04     336.22     -51.59    -399.15      13.57
C24-183A      2491.41    2491.66    2491.54     336.37     -51.23    -398.87      10.97
C24-184a      2491.91    2492.16    2492.04     336.52     -51.02    -397.34      10.82
C24-185a      2492.42    2492.67    2492.55     336.67     -50.69    -395.36      10.16
C24-186A      2492.91    2493.16    2493.04     336.82     -50.69    -394.77      10.75
C24-187a      2493.41    2493.66    2493.54     336.96     -50.92    -397.19      10.17
C24-188a      2493.91    2494.16    2494.04     337.12     -51.26    -398.85      11.23
C24-189A      2494.41    2494.64    2494.53     337.27     -51.12    -398.10      10.83
C24-190a      2494.90    2495.16    2495.03     337.43     -51.76    -402.59      11.49
C24-191A      2495.41    2495.66    2495.54     337.59     -51.80    -403.07      11.33
C24-192a      2495.91    2496.16    2496.04     337.77     -52.75    -410.46      11.54
C24-193A      2496.41    2496.66    2496.54     337.94     -52.36    -408.76      10.12
C24-194a      2496.91    2497.15    2497.03     338.12     -52.80    -410.77      11.63
C24-196a      2497.91    2498.16    2498.04     338.50     -54.14    -421.21      11.91
C24-197A      2498.41    2498.66    2498.54     338.72     -54.15    -421.43      11.77
C24-198a      2498.91    2499.16    2499.04     338.93     -55.00    -427.17      12.83
C24-199a      2499.41    2499.66    2499.54     339.15     -54.45    -425.20      10.40
C24-200a      2499.91    2500.16    2500.04     339.38     -54.98    -427.16      12.68
C25-001       2500.41    2500.72    2500.57     339.60     -54.71    -426.16      11.52
