ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C09-190        994.80     995.30     995.05      56.45     -57.82    -450.77      11.79
C09-195        997.30     997.80     997.55      56.65     -57.32    -444.82      13.74
C10-005       1002.35    1002.85    1002.60      57.06     -58.49    -453.91      14.01
C10-010       1004.85    1005.35    1005.10      57.26     -57.53    -447.19      13.05
C10-015       1007.35    1007.85    1007.60      57.46     -57.84    -447.10      15.62
C10-025       1012.35    1012.85    1012.60      57.84     -56.37    -437.99      12.97
C10-030       1014.85    1015.35    1015.10      58.03     -58.08    -451.42      13.22
C10-035       1017.35    1017.85    1017.60      58.23     -57.90    -450.22      12.98
C10-045       1022.35    1022.85    1022.60      58.62     -57.65    -446.50      14.70
C10-050       1024.83    1025.35    1025.09      58.81     -56.85    -443.68      11.12
C10-055       1027.35    1027.85    1027.60      59.01     -56.83    -443.98      10.66
C10-060       1029.85    1030.35    1030.10      59.21     -58.04    -450.04      14.28
C10-070       1034.85    1035.45    1035.15      59.63     -58.17    -452.60      12.76
C10-075       1037.46    1037.95    1037.70      59.85     -58.05    -451.22      13.18
C10-085       1042.47    1042.99    1042.73      60.28     -58.48    -455.02      12.82
C10-090       1044.98    1045.50    1045.24      60.50     -58.39    -455.79      11.33
BC10-095      1047.54    1048.06    1047.80      60.73     -58.54    -455.41      12.93
C10-100       1050.05    1050.55    1050.30      60.95     -58.62    -453.98      14.98
C10-110       1055.05    1055.55    1055.30      61.40     -58.63    -457.65      11.39
C10-115       1057.55    1058.05    1057.80      61.63     -59.64    -463.04      14.08
C10-125       1062.50    1063.03    1062.77      62.11     -59.11    -460.14      12.75
C10-130       1065.00    1065.50    1065.25      62.35     -59.87    -466.12      12.84
C10-135       1067.50    1068.01    1067.76      62.59     -59.45    -462.32      13.28
C10-145       1072.50    1073.00    1072.75      63.07     -58.31    -451.64      14.84
C10-150       1075.00    1075.50    1075.25      63.31     -59.38    -461.24      13.80
C10-155       1077.50    1078.00    1077.75      63.55     -58.92    -455.78      15.58
C10-165       1082.50    1083.00    1082.75      64.04     -59.75    -463.51      14.49
C10-170       1085.00    1085.50    1085.25      64.30     -59.68    -463.44      14.00
C10-175       1087.50    1088.00    1087.75      64.55     -59.12    -459.93      13.03
C10-185       1092.50    1093.00    1092.75      65.07     -59.23    -458.66      15.18
C10-190       1095.03    1095.50    1095.27      65.34     -59.70    -463.80      13.80
